File,BJD,Flux_Star_1,Flux_err_Star_1,Minst_Star_1,Minst_err_Star_1,Star_1_x,Star_1_y,Flux_Star_2,Flux_err_Star_2,Minst_Star_2,Minst_err_Star_2,Star_2_x,Star_2_y,Flux_Star_3,Flux_err_Star_3,Minst_Star_3,Minst_err_Star_3,Star_3_x,Star_3_y
TRES-5B.2025-10-15.0098_reduced.fits,2460964.59623761,87302.10044278175,258.6986859728012,-6.599986742662274,0.003217316972437719,499,402,780769.1556091022,580.9584526930121,-8.978731631178498,0.0008078797952219114,218,82,561656.3197338675,512.6986331729331,-8.621101635617697,0.0009910962426802634,593,256
TRES-5B.2025-10-15.0099_reduced.fits,2460964.5985795185,87698.92113874448,247.06668107057436,-6.604910637745115,0.0030587518882172746,499,402,781392.0891056249,576.957880205447,-8.979597536011905,0.0008016769914788329,218,82,563770.1566054038,507.1716613968985,-8.625180217327856,0.0009767360481114649,593,256
TRES-5B.2025-10-15.0100_reduced.fits,2460964.6009304887,87753.4851465661,252.55753642330293,-6.6055859447635,0.003124785991363332,499,402,780861.2528987444,579.8148083134681,-8.978859693953526,0.0008061943490010239,218,82,562687.8238161679,508.5009772798439,-8.623093804382291,0.0009811797906755307,593,256
TRES-5B.2025-10-15.0101_reduced.fits,2460964.6032769335,86848.65596440634,257.6202837076583,-6.594332765501974,0.0032206332498236887,499,402,777419.4598521792,578.3793940165175,-8.974063529352302,0.000807758849114999,218,82,560182.4964220611,509.5011267955552,-8.61824884745131,0.0009875064345284514,593,256
TRES-5B.2025-10-15.0102_reduced.fits,2460964.605644316,87233.93265130724,255.2433645341738,-6.59913863993353,0.0031768252728759296,499,402,773937.858237419,576.2529440767574,-8.969190239071755,0.0008084094579731302,218,82,557689.486617251,505.7185940890005,-8.61340615431231,0.000984556819158125,593,256
TRES-5B.2025-10-15.0103_reduced.fits,2460964.607995506,87175.30623487644,258.6079972992502,-6.598408715008932,0.0032208669821162743,499,402,774425.5069967859,577.5893640045138,-8.969874132714093,0.0008097740561449833,218,82,560000.2082891868,510.388591487289,-8.617895482189601,0.0009895485110017889,593,256
TRES-5B.2025-10-15.0104_reduced.fits,2460964.610343953,87034.41857678287,252.03026519326642,-6.596652591868164,0.0031440249511601515,499,402,775268.1426722696,576.0048703085276,-8.971054856595426,0.0008066748875496503,218,82,558752.4251132039,507.0672010438652,-8.615473563543484,0.0009853043918460905,593,256
TRES-5B.2025-10-15.0105_reduced.fits,2460964.612704368,86733.27006894666,252.96515028685255,-6.592889312654846,0.003166644379834723,499,402,771356.9437985045,574.7473071149187,-8.965563494389011,0.000808995063749521,218,82,559055.8947877447,507.1779077937442,-8.6160630886256,0.000984984546051905,593,256
TRES-5B.2025-10-15.0106_reduced.fits,2460964.615062514,87124.13624501778,256.68385349935727,-6.597771224591381,0.0031987800962218534,499,402,775972.8842674128,577.9165082055974,-8.972041374492001,0.0008086170135681972,218,82,558768.6199544413,509.178531025849,-8.61550503198972,0.0009893783331379623,593,256
TRES-5B.2025-10-15.0107_reduced.fits,2460964.6174274073,86803.01178438547,260.96347471148124,-6.5937619959773395,0.0032641435681694374,499,402,769358.2777149044,576.6390974914241,-8.962746587909301,0.0008137664380306999,218,82,556056.9415164383,509.3393080294339,-8.610223177385857,0.0009945170825956882,593,256
TRES-5B.2025-10-15.0108_reduced.fits,2460964.6197732734,85820.84572998004,252.2969881988928,-6.581406985878805,0.0031918582496942276,499,402,769872.8824483133,574.9464449104468,-8.963472567249479,0.0008108353797981146,218,82,552868.6304852797,504.1449118886813,-8.603979883255914,0.000990051439166817,593,256
TRES-5B.2025-10-15.0109_reduced.fits,2460964.6221305397,87169.37776528727,251.3566477809849,-6.59833487560154,0.0031307670170284264,499,402,770811.0846362911,575.079156968841,-8.96479488932272,0.0008100353948820948,218,82,553252.5992933747,501.9661443818666,-8.604733668360057,0.0009850885783714847,593,256
TRES-5B.2025-10-15.0110_reduced.fits,2460964.624472274,87048.9564657249,263.7319140313285,-6.596833933853267,0.00328945112083817,499,402,766194.0865656808,576.2984888140804,-8.958272000351181,0.0008166444312530035,218,82,554392.1537037906,510.26136398025056,-8.606967698564876,0.000999309303101408,593,256
TRES-5B.2025-10-15.0111_reduced.fits,2460964.6268233135,85614.42327127268,251.372967629914,-6.578792349503095,0.0031878358975627056,499,402,758435.6894924963,571.9350516451938,-8.94722191404694,0.0008187518084188745,218,82,547979.4546482811,501.3786337688862,-8.594335700389712,0.0009934039138829493,593,256
TRES-5B.2025-10-15.0112_reduced.fits,2460964.6291743186,86516.41375638609,250.09906559393607,-6.590171283189605,0.00313861380172466,499,402,765533.8030379,573.2093248054045,-8.957335941432639,0.0008129675193655404,218,82,553182.7567337302,505.9930155621283,-8.604596596464573,0.000993116523722346,593,256
TRES-5B.2025-10-15.0113_reduced.fits,2460964.63155089,85952.34036147715,255.45747909515018,-6.583069276871763,0.0032268979839687626,499,402,764854.7090415199,573.6686460353995,-8.956372373056533,0.0008143413529031407,218,82,550896.4973619634,505.73367839631123,-8.600100038609405,0.0009967269119149993,593,256
TRES-5B.2025-10-15.0114_reduced.fits,2460964.6339035034,86630.74822488442,255.56803788891406,-6.591605174320396,0.003203013678176754,499,402,761237.3261610806,571.8209803771147,-8.951225198672667,0.0008155757996873998,218,82,547532.3856227857,501.98921207472483,-8.59344954099625,0.0009954257981061678,593,256
TRES-5B.2025-10-15.0115_reduced.fits,2460964.63625224,85648.90204757656,252.9410527794642,-6.579229510887938,0.0032064305800411806,499,402,762131.9931555637,572.4502471628814,-8.952500493437338,0.0008155148509040684,218,82,549666.4687459486,505.47596918256994,-8.597673122206654,0.0009984483165378928,593,256
TRES-5B.2025-10-15.0116_reduced.fits,2460964.6386056985,86435.31632649736,257.3232887081696,-6.589153075136363,0.0032323039094639258,499,402,758681.9462987382,570.6528874551824,-8.947574384977665,0.000816651171525166,218,82,546834.9839967921,502.50689608866753,-8.592065738229246,0.0009977231636432722,593,256
TRES-5B.2025-10-15.0117_reduced.fits,2460964.640970673,85627.16183644051,252.92515158256475,-6.578953884114168,0.003207043048929623,499,402,762466.1477769519,573.7460331015808,-8.952976427083716,0.000817002620104484,218,82,548942.6566399302,504.2475406169373,-8.596242460282417,0.0009973351576632245,593,256
TRES-5B.2025-10-15.0118_reduced.fits,2460964.6433444666,85784.43757735654,253.42422313567943,-6.5809462815312125,0.0032074798412356598,499,402,753122.8683721254,568.3346914397619,-8.93958959843004,0.0008193371584240532,218,82,545566.678657759,501.6521529424387,-8.5895446039412,0.0009983415885744399,593,256
TRES-5B.2025-10-15.0119_reduced.fits,2460964.645694939,84550.87056481965,257.8576985536191,-6.5652202198450835,0.0033112070535174553,499,402,735523.1986617706,564.4750496638642,-8.913915948542792,0.0008332449598024554,218,82,538047.587243384,499.6507469296394,-8.57447673143376,0.001008254508593416,593,256
TRES-5B.2025-10-15.0120_reduced.fits,2460964.648036777,81991.05901962223,252.9572336856235,-6.531841250636189,0.003349692395145374,499,402,720733.8093103976,562.3808392437813,-8.891862248597734,0.0008471882824720792,218,82,526975.1995798474,500.02787322348985,-8.551900453335069,0.0010302161577618813,593,256
TRES-5B.2025-10-15.0121_reduced.fits,2460964.6503832215,80581.64696275117,248.8167583887346,-6.513015359446534,0.0033524924485358503,499,402,696281.5295207809,550.934775156456,-8.854387197495075,0.0008590919139551743,218,82,509426.5334151378,487.3448251834963,-8.515128914311669,0.0010386736579188949,593,256
TRES-5B.2025-10-15.0122_reduced.fits,2460964.652732617,77709.58568448646,240.68533069407147,-6.473611494557519,0.0033627869095807722,499,402,672954.3592662187,543.9399196658658,-8.817389037703935,0.0008775859103408067,218,82,492996.3992741097,478.83837670870554,-8.479534379108703,0.0010545556977408865,593,256
TRES-5B.2025-10-15.0123_reduced.fits,2460964.655074467,75968.16775093801,240.55901855898625,-6.449004140683422,0.003438066805650308,499,402,644656.2288616644,533.6822934314595,-8.77074546909935,0.0008988328381470238,218,82,476373.17161151004,472.5781515459498,-8.442293248087479,0.0010770867027951544,593,256
TRES-5B.2025-10-15.0124_reduced.fits,2460964.657436085,71507.3757578375,238.73876633571047,-6.383302111346961,0.003624903296238808,499,402,614229.6616457918,523.5861897400948,-8.718251973450753,0.0009255112834977416,218,82,455729.27603730914,468.3883071830672,-8.394192332203232,0.0011158952688227015,593,256
TRES-5B.2025-10-15.0125_reduced.fits,2460964.6597825643,69203.64214239946,241.01647777898614,-6.347747390071613,0.003781308436476106,499,402,584705.3108187268,511.1490612662151,-8.664767607109297,0.000949149993297934,218,82,437977.5587284203,459.8454991499731,-8.351054657133986,0.0011399463216145867,593,256
TRES-5B.2025-10-15.0126_reduced.fits,2460964.662129043,66336.86276785508,235.52522971996905,-6.301812332897815,0.003854844175188511,499,402,558176.3055446366,504.5491369504514,-8.614353502948445,0.0009814233596534589,218,82,417242.0238340934,452.93191871475506,-8.2983951190478,0.001178607509186837,593,256
TRES-5B.2025-10-15.0127_reduced.fits,2460964.664475499,61947.600653594265,229.5234880879199,-6.227486235841251,0.004022786326349298,499,402,526938.0189505421,491.1833187875451,-8.55182384673282,0.0010120649738711417,218,82,395734.591082212,444.06032571311,-8.240935044639702,0.0012183225413905,593,256
TRES-5B.2025-10-16.0128_reduced.fits,2460964.6668267353,59955.86646192556,235.88096210337747,-6.192004219935699,0.004271550319958333,499,402,498219.34415834816,481.25638250898777,-8.490976475094444,0.0010487699532093322,218,82,375271.22839229414,432.0884637506054,-8.183288182934223,0.0012501200551989508,593,256
TRES-5B.2025-10-16.0129_reduced.fits,2460964.6691776705,55562.85513874064,215.9234526258386,-6.10938639630192,0.004219291996188145,499,402,468866.6721301782,466.7221109872649,-8.425048419386,0.0010807701284413808,218,82,354865.6582892274,423.7209042018865,-8.122584943436086,0.0012964036267208584,593,256
TRES-5B.2025-10-16.0130_reduced.fits,2460964.671523999,53606.24033432592,217.84189283512993,-6.070463383626645,0.004412151057209844,499,402,449610.4344454161,458.8139147806292,-8.379515965026595,0.0011079611155790847,218,82,336483.0789024031,408.29886284216866,-8.064833083992726,0.001317465529605121,593,256
TRES-5B.2025-10-16.0131_reduced.fits,2460964.6738705477,50360.06567052754,214.61475509308875,-6.0026407302521445,0.004626979861470555,499,402,429765.46491523494,452.46399859869774,-8.330503794665383,0.001143080551447127,218,82,326162.00387349917,408.1481373070328,-8.03100842751482,0.0013586536884005304,593,256
TRES-5B.2025-10-16.0132_reduced.fits,2460964.676221668,47655.86950474232,202.90068907699316,-5.942716005518088,0.00462265459408608,499,402,410433.3663339138,441.19508766760777,-8.280531660017978,0.0011671114469101033,218,82,310449.1833300871,401.2052728103887,-7.977401315153135,0.0014031381418289752,593,256
TRES-5B.2025-10-16.0133_reduced.fits,2460964.6785749756,46681.22958699567,202.49095141035997,-5.920280728020933,0.00470963937812368,499,402,390962.1167290435,430.70130900778844,-8.227761704249085,0.001196095438961838,218,82,297940.7858826998,389.94651927088296,-7.932749908281364,0.0014210174435751702,593,256
TRES-5B.2025-10-16.0134_reduced.fits,2460964.680934406,43767.089449275554,205.56873324696215,-5.850294177341546,0.005099571825793121,499,402,372681.9407659151,425.75652144862056,-8.175770881940274,0.0012403586522025697,218,82,284527.0955419756,388.067582091542,-7.88273408735177,0.0014808397174517094,593,256
TRES-5B.2025-10-16.0135_reduced.fits,2460964.6832808387,42099.04721325429,193.79516253587235,-5.808105678296883,0.004997985422480966,499,402,357426.5895848439,417.6805721489942,-8.130392154070742,0.0012687666010886016,218,82,272955.6310107131,379.7043170703812,-7.83765515615955,0.001510350684540714,593,256
